TS time deltat Energy E1 E2 E3 Dissipation Trd volume area area_n area_gn area_gp Lat_area Epress E_tension1 E_tension2 E_tension3 Ela_small P_tension1 P_tension2 P_tension3 pressure Zmax stress strain Diss1 Diss2 Diss3
90 0.00145606 2.47077e-05 0.00402784 0.00146346 0.00103475 0.00152963 8.52107 0.00144171 0.0123677 1.45475 1.4517 1.45477 1.45474 1.10227 -0.093692 7.24465 7.24425 5.51631 0 13.2573 13.6172 -4.67753 -7.63991 1 0 0 0.00653623 0.00406456 0.00387572
95 0.00158212 2.5981e-05 0.00447541 0.00164798 0.00114822 0.00167922 7.6896 0.00144194 0.0130548 1.4551 1.4517 1.45512 1.45508 1.10216 -0.100404 7.24309 7.24262 5.51629 0 13.3222 13.701 -4.70595 -7.76004 1 0 0 0.00738991 0.00449803 0.00426201
100 0.00171468 2.732e-05 0.00495692 0.00184755 0.00126967 0.0018397 6.93663 0.00144218 0.0137419 1.45546 1.4517 1.45548 1.45545 1.10203 -0.107389 7.24144 7.24089 5.51628 0 13.3445 13.7413 -4.71822 -7.88867 1 0 0 0.00831738 0.00496145 0.0046776
105 0.00185407 2.87279e-05 0.00547406 0.00206283 0.00139948 0.00201174 6.25587 0.00144243 0.014429 1.45585 1.4517 1.45587 1.45583 1.1019 -0.114663 7.23972 7.23908 5.51627 0 13.328 13.7416 -4.71588 -8.02571 1 0 0 0.00932207 0.00545644 0.00512435
110 0.00200064 3.02085e-05 0.00602849 0.00229447 0.00153802 0.002196 5.64116 0.00144269 0.0151161 1.45625 1.4517 1.45628 1.45623 1.10176 -0.122239 7.23791 7.23719 5.51625 0 13.2762 13.7057 -4.70042 -8.17103 1 0 0 0.0104074 0.00598472 0.0056041
115 0.00215476 3.17653e-05 0.00662191 0.00254311 0.00168568 0.00239312 5.08658 0.00144297 0.0158032 1.45667 1.4517 1.4567 1.45664 1.10162 -0.130133 7.23603 7.23521 5.51623 0 13.1929 13.6371 -4.67325 -8.32446 1 0 0 0.0115769 0.00654806 0.00611866
120 0.00231683 3.34023e-05 0.00725601 0.00280941 0.00184287 0.00260373 4.58653 0.00144325 0.0164902 1.45711 1.4517 1.45714 1.45708 1.10147 -0.138357 7.23407 7.23314 5.51621 0 13.0815 13.5393 -4.6357 -8.4858 1 0 0 0.012834 0.00714833 0.00666982
125 0.00248725 3.51237e-05 0.0079325 0.00309402 0.00201 0.00282847 4.1358 0.00144355 0.0171773 1.45757 1.4517 1.45761 1.45754 1.10131 -0.146922 7.23204 7.231 5.51619 0 12.9451 13.4154 -4.58898 -8.65483 1 0 0 0.0141823 0.0077875 0.00725937
130 0.00266645 3.69339e-05 0.0086531 0.00339761 0.00218751 0.00306797 3.72961 0.00144387 0.0178644 1.45805 1.4517 1.45809 1.45801 1.10115 -0.15584 7.22994 7.22877 5.51617 0 12.7868 13.2684 -4.53423 -8.83134 1 0 0 0.0156252 0.00846763 0.00788908
135 0.00285489 3.88373e-05 0.00941956 0.00372085 0.00237585 0.00332286 3.36356 0.00144419 0.0185515 1.45855 1.4517 1.45859 1.4585 1.10098 -0.165122 7.22777 7.22647 5.51614 0 12.6093 13.1011 -4.47245 -9.0151 1 0 0 0.0171663 0.00919091 0.00856072
140 0.00305304 4.08388e-05 0.0102337 0.00406439 0.0025755 0.00359378 3.03369 0.00144453 0.0192386 1.45906 1.4517 1.45911 1.45902 1.1008 -0.174778 7.22553 7.22409 5.51611 0 12.415 12.9159 -4.40457 -9.20589 1 0 0 0.0188091 0.00995961 0.00927609
145 0.0032614 4.29434e-05 0.0110972 0.00442891 0.00278692 0.00388137 2.73639 0.00144487 0.0199257 1.4596 1.4517 1.45965 1.45954 1.10062 -0.184818 7.22323 7.22164 5.51608 0 12.2064 12.7152 -4.33143 -9.40351 1 0 0 0.0205573 0.0107761 0.010037
150 0.0034805 4.51566e-05 0.012012 0.00481508 0.00301065 0.00418627 2.46841 0.00144524 0.0206128 1.46015 1.4517 1.4602 1.46009 1.10044 -0.195249 7.22087 7.21912 5.51604 0 11.9854 12.5011 -4.25379 -9.60774 1 0 0 0.0224145 0.0116429 0.0108451
155 0.00371089 4.74837e-05 0.0129799 0.00522355 0.00324718 0.00450912 2.22684 0.00144561 0.0212999 1.46072 1.4517 1.46078 1.46066 1.10024 -0.206082 7.21845 7.21652 5.51601 0 11.754 12.2755 -4.17232 -9.8184 1 0 0 0.0243842 0.0125626 0.0117024
160 0.00395315 4.99308e-05 0.0140026 0.00565499 0.00349705 0.00485058 2.00904 0.00144599 0.021987 1.46131 1.4517 1.46137 1.46124 1.10005 -0.217325 7.21597 7.21387 5.51596 0 11.5139 12.0401 -4.08766 -10.0353 1 0 0 0.0264699 0.0135377 0.0126105
165 0.0042079 5.25041e-05 0.0150821 0.00611004 0.00376081 0.00521129 1.81266 0.00144639 0.0226741 1.46191 1.4517 1.46199 1.46184 1.09984 -0.228986 7.21344 7.21115 5.51592 0 11.2666 11.7965 -4.00036 -10.2583 1 0 0 0.0286751 0.0145712 0.0135712
170 0.00447578 5.52099e-05 0.0162203 0.00658933 0.00403902 0.0055919 1.63556 0.0014468 0.0233612 1.46254 1.4517 1.46262 1.46246 1.09963 -0.241072 7.21086 7.20836 5.51587 0 11.0135 11.5462 -3.91093 -10.4871 1 0 0 0.0310034 0.0156657 0.0145864
175 0.00475746 5.80552e-05 0.0174188 0.00709349 0.00433224 0.00599307 1.47583 0.00144722 0.0240483 1.46318 1.4517 1.46327 1.46309 1.09942 -0.253592 7.20823 7.20553 5.51581 0 10.7561 11.2905 -3.81985 -10.7217 1 0 0 0.0334581 0.0168243 0.0156577
180 0.00505366 6.10471e-05 0.0186796 0.00762312 0.00464105 0.00641543 1.33176 0.00144765 0.0247354 1.46384 1.4517 1.46394 1.46374 1.0992 -0.266552 7.20556 7.20264 5.51575 0 10.4953 11.0306 -3.72752 -10.9619 1 0 0 0.0360426 0.0180498 0.016787
185 0.00536513 6.41932e-05 0.0200045 0.00817881 0.00496601 0.00685963 1.20181 0.00144809 0.0254225 1.46452 1.4517 1.46462 1.46441 1.09897 -0.279959 7.20285 7.1997 5.51568 0 10.2323 10.7677 -3.63432 -11.2075 1 0 0 0.0387601 0.0193453 0.0179758
190 0.00569264 6.75014e-05 0.0213951 0.00876111 0.00530772 0.00732629 1.08457 0.00144854 0.0261096 1.46521 1.4517 1.46532 1.4651 1.09874 -0.293821 7.2001 7.19671 5.51561 0 9.96807 10.5026 -3.5406 -11.4584 1 0 0 0.0416137 0.0207137 0.0192258
195 0.00603704 7.09802e-05 0.0228533 0.00937055 0.00566676 0.00781604 0.978802 0.00144901 0.0267967 1.46593 1.4517 1.46605 1.46581 1.0985 -0.308143 7.19732 7.19368 5.51553 0 9.70338 10.2363 -3.44667 -11.7144 1 0 0 0.0446065 0.0221583 0.0205387
200 0.00639918 7.46382e-05 0.0243808 0.0100076 0.0060437 0.00832948 0.883373 0.00144949 0.0274838 1.46666 1.4517 1.46679 1.46653 1.09825 -0.322933 7.19451 7.19061 5.51544 0 9.43905 9.96955 -3.3528 -11.9755 1 0 0 0.0477413 0.0236821 0.021916
205 0.00677999 7.84847e-05 0.0259792 0.0106728 0.00643912 0.0088672 0.797268 0.00144998 0.0281708 1.4674 1.4517 1.46754 1.46727 1.09801 -0.338195 7.19168 7.18752 5.51534 0 9.17575 9.70317 -3.25924 -12.2415 1 0 0 0.0510209 0.0252881 0.0233592
210 0.00718042 8.25295e-05 0.0276499 0.0113665 0.00685359 0.00942979 0.719573 0.00145048 0.0288579 1.46817 1.4517 1.46832 1.46802 1.09775 -0.353936 7.18884 7.18439 5.51523 0 8.91412 9.43776 -3.16621 -12.5123 1 0 0 0.0544479 0.0269796 0.0248697
215 0.00760149 8.67827e-05 0.0293946 0.0120892 0.00728766 0.0100178 0.649463 0.00145099 0.029545 1.46895 1.4517 1.46911 1.4688 1.09749 -0.370161 7.18597 7.18124 5.51511 0 8.65469 9.17394 -3.07391 -12.7878 1 0 0 0.0580245 0.0287596 0.026449
220 0.00804426 9.12551e-05 0.0312147 0.012841 0.00774189 0.0106317 0.586194 0.00145151 0.0302321 1.46975 1.4517 1.46993 1.46959 1.09723 -0.386875 7.1831 7.17808 5.51498 0 8.39796 8.91221 -2.98253 -13.0677 1 0 0 0.0617528 0.0306312 0.0280981
225 0.00850984 9.5958e-05 0.0331113 0.0136224 0.00821679 0.0112721 0.529098 0.00145204 0.0309192 1.47057 1.4517 1.47075 1.47039 1.09696 -0.404084 7.18023 7.1749 5.51484 0 8.14437 8.65307 -2.89221 -13.3521 1 0 0 0.0656349 0.0325973 0.0298184
230 0.00899942 0.000100903 0.0350858 0.0144335 0.00871286 0.0119394 0.477569 0.00145259 0.0316063 1.47141 1.4517 1.4716 1.47122 1.09669 -0.421791 7.17736 7.17173 5.51469 0 7.89429 8.39692 -2.80309 -13.6408 1 0 0 0.0696723 0.034661 0.0316109
235 0.00951424 0.000106103 0.0371392 0.0152745 0.0092306 0.0126341 0.431065 0.00145314 0.0322934 1.47226 1.4517 1.47247 1.47206 1.09641 -0.440001 7.17451 7.16855 5.51452 0 7.64805 8.14415 -2.71529 -13.9337 1 0 0 0.0738663 0.0368251 0.0334764
240 0.0100556 0.000111572 0.0392724 0.0161454 0.00977045 0.0133566 0.389093 0.00145371 0.0329805 1.47313 1.4517 1.47335 1.47291 1.09612 -0.458718 7.17166 7.16538 5.51434 0 7.40594 7.89506 -2.62892 -14.2307 1 0 0 0.0782179 0.0390924 0.0354159
245 0.0106248 0.000117321 0.0414862 0.0170463 0.0103328 0.0141071 0.351211 0.00145429 0.0336676 1.47401 1.4517 1.47425 1.47378 1.09583 -0.477947 7.16885 7.16224 5.51415 0 7.16822 7.64995 -2.54407 -14.5317 1 0 0 0.0827278 0.0414655 0.03743
250 0.0112234 0.000123368 0.0437813 0.0179771 0.0109181 0.0148861 0.31702 0.00145488 0.0343547 1.47491 1.4517 1.47516 1.47467 1.09554 -0.49769 7.16606 7.15911 5.51393 0 6.9351 7.40907 -2.46082 -14.8365 1 0 0 0.0873962 0.0439469 0.0395191
255 0.0118528 0.000129726 0.046158 0.0189376 0.0115266 0.0156938 0.28616 0.00145548 0.0350418 1.47583 1.4517 1.4761 1.47558 1.09524 -0.51795 7.16331 7.15603 5.5137 0 6.70674 7.17263 -2.37922 -15.1451 1 0 0 0.0922231 0.0465391 0.0416837
260 0.0125147 0.000136411 0.0486165 0.0199275 0.0121586 0.0165304 0.258306 0.00145609 0.0357289 1.47677 1.4517 1.47705 1.4765 1.09493 -0.53873 7.16061 7.15298 5.51344 0 6.48331 6.9408 -2.29934 -15.4573 1 0 0 0.0972079 0.049244 0.0439238
265 0.0132107 0.000143441 0.051157 0.0209465 0.0128144 0.0173961 0.233164 0.00145671 0.036416 1.47772 1.4517 1.47802 1.47743 1.09463 -0.560033 7.15797 7.14999 5.51317 0 6.26492 6.71375 -2.22122 -15.7729 1 0 0 0.102349 0.0520638 0.0462395
270 0.0139425 0.000150833 0.053779 0.0219941 0.0134941 0.0182909 0.21047 0.00145734 0.0371031 1.47869 1.4517 1.479 1.47839 1.09431 -0.58186 7.15539 7.14706 5.51287 0 6.05165 6.49158 -2.14489 -16.092 1 0 0 0.107646 0.055 0.0486305
275 0.0147121 0.000158607 0.0564823 0.0230696 0.0141977 0.0192149 0.189985 0.00145799 0.0377902 1.47968 1.4517 1.48 1.47936 1.09399 -0.604213 7.15289 7.14421 5.51255 0 5.8436 6.27441 -2.07039 -16.4144 1 0 0 0.113096 0.0580542 0.0510964
