TS time deltat Energy E1 E2 E3 Dissipation Trd volume area area_n area_gn area_gp Lat_area Epress E_tension1 E_tension2 E_tension3 Ela_small P_tension1 P_tension2 P_tension3 pressure Zmax stress strain Diss1 Diss2 Diss3
1160 12.0612 0.0251295 0.00367639 0.000113213 5.08946e-05 0.00351228 5.41375e-06 0.0016871 0.159406 1.82986 1.4517 1.8406 1.81866 1.00339 -4.94142 9.07387 9.18186 5.01897 0 0.0972196 0.105687 -0.01973 -34.819 1 0 0 0.000409178 0.000339669 0.00239488
1165 12.1868 0.0251295 0.00371807 0.000112486 5.05297e-05 0.00355505 5.40412e-06 0.00168877 0.160093 1.83242 1.4517 1.84326 1.82111 1.0029 -4.96802 9.08609 9.19515 5.01649 0 0.0973324 0.105817 -0.0196803 -34.8748 1 0 0 0.000406183 0.000338086 0.00240441
1170 12.3125 0.0251295 0.00376014 0.000111776 5.01664e-05 0.0035982 5.39453e-06 0.00169044 0.16078 1.83498 1.4517 1.84593 1.82357 1.00241 -4.99458 9.09833 9.20845 5.01402 0 0.0974439 0.105945 -0.0196305 -34.93 1 0 0 0.000403215 0.000336501 0.0024139
1175 12.4381 0.0251295 0.0038026 0.000111082 4.98047e-05 0.00364172 5.38495e-06 0.00169212 0.161467 1.83755 1.4517 1.8486 1.82602 1.00191 -5.02109 9.11058 9.22177 5.01155 0 0.097554 0.106072 -0.0195807 -34.9846 1 0 0 0.000400275 0.000334913 0.00242335
1180 12.5637 0.0251295 0.00384546 0.000110403 4.94447e-05 0.00368561 5.37541e-06 0.00169379 0.162154 1.84012 1.4517 1.85127 1.82848 1.00142 -5.04757 9.12285 9.2351 5.00909 0 0.0976628 0.106197 -0.0195307 -35.0387 1 0 0 0.000397361 0.000333322 0.00243275
1185 12.6894 0.0251295 0.00388871 0.000109741 4.90863e-05 0.00372988 5.36588e-06 0.00169547 0.162841 1.84269 1.4517 1.85395 1.83094 1.00093 -5.07401 9.13513 9.24845 5.00664 0 0.0977702 0.10632 -0.0194806 -35.0923 1 0 0 0.000394473 0.000331729 0.00244212
1190 12.815 0.0251295 0.00393235 0.000109093 4.87296e-05 0.00377453 5.35638e-06 0.00169715 0.163528 1.84526 1.4517 1.85662 1.8334 1.00045 -5.1004 9.14742 9.26182 5.00419 0 0.0978764 0.106441 -0.0194304 -35.1454 1 0 0 0.000391611 0.000330133 0.00245144
1195 12.9407 0.0251295 0.0039764 0.000108462 4.83746e-05 0.00381956 5.3469e-06 0.00169883 0.164215 1.84784 1.4517 1.85931 1.83587 0.999958 -5.12675 9.15973 9.2752 5.00175 0 0.0979812 0.106561 -0.0193802 -35.1979 1 0 0 0.000388774 0.000328536 0.00246071
1200 13.0663 0.0251295 0.00402084 0.000107845 4.80213e-05 0.00386497 5.33745e-06 0.00170051 0.164902 1.85042 1.4517 1.86199 1.83834 0.999473 -5.15306 9.17205 9.2886 4.99932 0 0.0980847 0.10668 -0.0193299 -35.2499 1 0 0 0.000385963 0.000326936 0.00246994
1205 13.192 0.0251295 0.00406568 0.000107243 4.76697e-05 0.00391077 5.32802e-06 0.0017022 0.16559 1.85301 1.4517 1.86468 1.84081 0.998988 -5.17932 9.18439 9.30202 4.99689 0 0.098187 0.106797 -0.0192795 -35.3014 1 0 0 0.000383177 0.000325335 0.00247913
1210 13.3176 0.0251295 0.00411092 0.000106656 4.73198e-05 0.00395694 5.31861e-06 0.00170389 0.166277 1.85559 1.4517 1.86737 1.84328 0.998505 -5.20554 9.19673 9.31544 4.99447 0 0.098288 0.106912 -0.019229 -35.3524 1 0 0 0.000380416 0.000323731 0.00248827
1215 13.4433 0.0251295 0.00415656 0.000106083 4.69717e-05 0.00400351 5.30923e-06 0.00170557 0.166964 1.85818 1.4517 1.87006 1.84576 0.998023 -5.23172 9.20909 9.32889 4.99205 0 0.0983878 0.107026 -0.0191784 -35.4029 1 0 0 0.000377679 0.000322126 0.00249737
1220 13.5689 0.0251295 0.00420261 0.000105524 4.66254e-05 0.00405046 5.29987e-06 0.00170726 0.167651 1.86077 1.4517 1.87276 1.84824 0.997542 -5.25785 9.22147 9.34234 4.98964 0 0.0984864 0.107138 -0.0191278 -35.4529 1 0 0 0.000374967 0.00032052 0.00250643
1225 13.6946 0.0251295 0.00424906 0.00010498 4.62808e-05 0.0040978 5.29053e-06 0.00170895 0.168338 1.86336 1.4517 1.87546 1.85072 0.997062 -5.28394 9.23385 9.35581 4.98724 0 0.0985837 0.107248 -0.0190771 -35.5024 1 0 0 0.000372279 0.000318912 0.00251544
1230 13.8202 0.0251295 0.00429591 0.00010445 4.5938e-05 0.00414553 5.28122e-06 0.00171065 0.169025 1.86596 1.4517 1.87816 1.8532 0.996584 -5.30999 9.24625 9.3693 4.98485 0 0.0986798 0.107357 -0.0190264 -35.5514 1 0 0 0.000369616 0.000317303 0.0025244
1235 13.9459 0.0251295 0.00434317 0.000103933 4.5597e-05 0.00419364 5.27193e-06 0.00171234 0.169712 1.86856 1.4517 1.88086 1.85569 0.996107 -5.33599 9.25866 9.3828 4.98246 0 0.0987747 0.107465 -0.0189756 -35.5999 1 0 0 0.000366976 0.000315693 0.00253332
1240 14.0715 0.0251295 0.00439084 0.000103431 4.52579e-05 0.00424216 5.26266e-06 0.00171404 0.170399 1.87116 1.4517 1.88357 1.85817 0.995632 -5.36194 9.27108 9.39631 4.98007 0 0.0988684 0.107571 -0.0189248 -35.6479 1 0 0 0.00036436 0.000314083 0.00254219
1245 14.1972 0.0251295 0.00443892 0.000102941 4.49206e-05 0.00429106 5.25342e-06 0.00171574 0.171086 1.87377 1.4517 1.88628 1.86067 0.995157 -5.38785 9.28352 9.40984 4.9777 0 0.0989609 0.107676 -0.0188739 -35.6954 1 0 0 0.000361769 0.000312471 0.00255102
1250 14.3228 0.0251295 0.00448741 0.000102465 4.45851e-05 0.00434036 5.2442e-06 0.00171744 0.171773 1.87637 1.4517 1.88899 1.86316 0.994684 -5.41372 9.29596 9.42338 4.97532 0 0.0990523 0.107779 -0.018823 -35.7425 1 0 0 0.000359201 0.000310859 0.0025598
1255 14.4485 0.0251295 0.00453631 0.000102003 4.42516e-05 0.00439006 5.235e-06 0.00171914 0.172461 1.87898 1.4517 1.8917 1.86565 0.994212 -5.43953 9.30842 9.43693 4.97296 0 0.0991425 0.107881 -0.018772 -35.7891 1 0 0 0.000356657 0.000309247 0.00256853
1260 14.5741 0.0251295 0.00458562 0.000101553 4.39199e-05 0.00444015 5.22582e-06 0.00172084 0.173148 1.88159 1.4517 1.89442 1.86815 0.993742 -5.46531 9.32089 9.4505 4.9706 0 0.0992316 0.107982 -0.0187211 -35.8352 1 0 0 0.000354136 0.000307635 0.00257722
1265 14.6998 0.0251295 0.00463535 0.000101116 4.35901e-05 0.00449064 5.21667e-06 0.00172255 0.173835 1.8842 1.4517 1.89714 1.87065 0.993272 -5.49103 9.33337 9.46407 4.96825 0 0.0993195 0.108081 -0.0186701 -35.8808 1 0 0 0.000351639 0.000306023 0.00258586
1270 14.8254 0.0251295 0.00468549 0.000100692 4.32623e-05 0.00454154 5.20754e-06 0.00172425 0.174522 1.88682 1.4517 1.89986 1.87315 0.992804 -5.51671 9.34586 9.47767 4.96591 0 0.0994064 0.108178 -0.018619 -35.926 1 0 0 0.000349166 0.000304411 0.00259446
1275 14.951 0.0251295 0.00473605 0.000100281 4.29365e-05 0.00459283 5.19843e-06 0.00172596 0.175209 1.88944 1.4517 1.90259 1.87566 0.992338 -5.54234 9.35836 9.49127 4.96357 0 0.0994921 0.108274 -0.018568 -35.9708 1 0 0 0.000346717 0.000302799 0.00260301
1280 15.0767 0.0251295 0.00478702 9.98822e-05 4.26126e-05 0.00464453 5.18935e-06 0.00172767 0.175896 1.89206 1.4517 1.90532 1.87816 0.991872 -5.56793 9.37087 9.50489 4.96124 0 0.0995767 0.108369 -0.0185169 -36.015 1 0 0 0.000344291 0.000301188 0.00261151
1285 15.2023 0.0251295 0.00483841 9.94959e-05 4.22906e-05 0.00469663 5.18028e-06 0.00172938 0.176583 1.89468 1.4517 1.90805 1.88067 0.991408 -5.59346 9.3834 9.51851 4.95891 0 0.0996603 0.108463 -0.0184659 -36.0588 1 0 0 0.000341889 0.000299578 0.00261996
1290 15.328 0.0251295 0.00489023 9.91218e-05 4.19707e-05 0.00474913 5.17124e-06 0.00173109 0.17727 1.89731 1.4517 1.91078 1.88318 0.990945 -5.61895 9.39593 9.53215 4.95659 0 0.0997427 0.108555 -0.0184148 -36.1022 1 0 0 0.00033951 0.000297969 0.00262837
1295 15.4536 0.0251295 0.00494246 9.87599e-05 4.16528e-05 0.00480205 5.16223e-06 0.0017328 0.177957 1.89993 1.4517 1.91351 1.88569 0.990484 -5.6444 9.40848 9.54581 4.95428 0 0.0998241 0.108646 -0.0183637 -36.1452 1 0 0 0.000337154 0.000296361 0.00263673
1300 15.5793 0.0251295 0.00499511 9.841e-05 4.13369e-05 0.00485537 5.15323e-06 0.00173452 0.178644 1.90256 1.4517 1.91625 1.88821 0.990023 -5.66979 9.42103 9.55947 4.95197 0 0.0999045 0.108735 -0.0183126 -36.1876 1 0 0 0.000334823 0.000294755 0.00264505
1305 15.7049 0.0251295 0.00504819 9.8072e-05 4.10231e-05 0.0049091 5.14426e-06 0.00173623 0.179331 1.90519 1.4517 1.91899 1.89072 0.989564 -5.69514 9.4336 9.57314 4.94967 0 0.0999838 0.108824 -0.0182616 -36.2297 1 0 0 0.000332514 0.00029315 0.00265331
1310 15.8306 0.0251295 0.0051017 9.77459e-05 4.07114e-05 0.00496324 5.13531e-06 0.00173795 0.180019 1.90783 1.4517 1.92173 1.89324 0.989107 -5.72043 9.44617 9.58683 4.94738 0 0.100062 0.108911 -0.0182105 -36.2713 1 0 0 0.00033023 0.000291547 0.00266153
1315 15.9562 0.0251295 0.00515562 9.74314e-05 4.04017e-05 0.00501779 5.12638e-06 0.00173967 0.180706 1.91046 1.4517 1.92447 1.89576 0.98865 -5.74568 9.45876 9.60053 4.94509 0 0.100139 0.108996 -0.0181594 -36.3125 1 0 0 0.000327968 0.000289947 0.0026697
1320 16.0819 0.0251295 0.00520998 9.71284e-05 4.00941e-05 0.00507276 5.11747e-06 0.00174139 0.181393 1.9131 1.4517 1.92721 1.89828 0.988195 -5.77088 9.47135 9.61423 4.94281 0 0.100216 0.109081 -0.0181084 -36.3533 1 0 0 0.000325731 0.000288348 0.00267783
1325 16.2075 0.0251295 0.00526476 9.68369e-05 3.97886e-05 0.00512813 5.10859e-06 0.00174311 0.18208 1.91574 1.4517 1.92996 1.90081 0.987741 -5.79604 9.48396 9.62795 4.94053 0 0.100291 0.109164 -0.0180574 -36.3936 1 0 0 0.000323516 0.000286752 0.00268591
1330 16.3332 0.0251295 0.00531997 9.65568e-05 3.94853e-05 0.00518393 5.09973e-06 0.00174483 0.182767 1.91838 1.4517 1.93271 1.90333 0.987288 -5.82114 9.49657 9.64168 4.93827 0 0.100365 0.109246 -0.0180064 -36.4336 1 0 0 0.000321326 0.000285158 0.00269394
1335 16.4588 0.0251295 0.00537561 9.62878e-05 3.91841e-05 0.00524014 5.09089e-06 0.00174656 0.183454 1.92102 1.4517 1.93546 1.90586 0.986837 -5.84619 9.5092 9.65542 4.936 0 0.100438 0.109327 -0.0179554 -36.4731 1 0 0 0.000319158 0.000283568 0.00270192
1340 16.5845 0.0251295 0.00543168 9.603e-05 3.8885e-05 0.00529676 5.08208e-06 0.00174828 0.184141 1.92367 1.4517 1.93821 1.90839 0.986387 -5.8712 9.52183 9.66917 4.93375 0 0.100511 0.109406 -0.0179045 -36.5122 1 0 0 0.000317014 0.00028198 0.00270985
1345 16.7101 0.0251295 0.00548818 9.57831e-05 3.85881e-05 0.00535381 5.07328e-06 0.00175001 0.184828 1.92632 1.4517 1.94097 1.91092 0.985938 -5.89615 9.53447 9.68293 4.9315 0 0.100582 0.109485 -0.0178536 -36.5509 1 0 0 0.000314894 0.000280396 0.00271774
1350 16.8358 0.0251295 0.00554512 9.55472e-05 3.82934e-05 0.00541128 5.06451e-06 0.00175174 0.185515 1.92897 1.4517 1.94373 1.91346 0.985491 -5.92106 9.54712 9.6967 4.92926 0 0.100653 0.109562 -0.0178027 -36.5891 1 0 0 0.000312796 0.000278815 0.00272558
1355 16.9614 0.0251295 0.00560249 9.5322e-05 3.80009e-05 0.00546916 5.05576e-06 0.00175346 0.186202 1.93162 1.4517 1.94649 1.91599 0.985045 -5.94591 9.55978 9.71048 4.92702 0 0.100722 0.109638 -0.0177519 -36.627 1 0 0 0.000310722 0.000277238 0.00273337
1360 17.0871 0.0251295 0.00566029 9.51075e-05 3.77105e-05 0.00552747 5.04704e-06 0.00175519 0.186889 1.93427 1.4517 1.94925 1.91853 0.9846 -5.97072 9.57245 9.72427 4.92479 0 0.100791 0.109712 -0.0177011 -36.6645 1 0 0 0.000308672 0.000275664 0.00274111
1365 17.2127 0.0251295 0.00571853 9.49036e-05 3.74224e-05 0.0055862 5.03833e-06 0.00175692 0.187577 1.93692 1.4517 1.95201 1.92106 0.984156 -5.99547 9.58513 9.73807 4.92257 0 0.100858 0.109786 -0.0176503 -36.7016 1 0 0 0.000306644 0.000274095 0.00274881
1370 17.3383 0.0251295 0.0057772 9.47102e-05 3.71365e-05 0.00564536 5.02965e-06 0.00175866 0.188264 1.93958 1.4517 1.95477 1.9236 0.983714 -6.02018 9.59782 9.75188 4.92035 0 0.100925 0.109859 -0.0175997 -36.7383 1 0 0 0.00030464 0.00027253 0.00275646
1375 17.464 0.0251295 0.00583632 9.45271e-05 3.68528e-05 0.00570494 5.02099e-06 0.00176039 0.188951 1.94224 1.4517 1.95754 1.92615 0.983272 -6.04483 9.61051 9.7657 4.91814 0 0.100991 0.10993 -0.017549 -36.7746 1 0 0 0.000302659 0.000270969 0.00276406
1380 17.5896 0.0251295 0.00589587 9.43542e-05 3.65713e-05 0.00576495 5.01236e-06 0.00176212 0.189638 1.9449 1.4517 1.96031 1.92869 0.982833 -6.06944 9.62321 9.77952 4.91594 0 0.101056 0.11 -0.0174984 -36.8106 1 0 0 0.000300701 0.000269413 0.00277161
1385 17.7153 0.0251295 0.00595586 9.41915e-05 3.62921e-05 0.00582538 5.00374e-06 0.00176386 0.190325 1.94756 1.4517 1.96308 1.93123 0.982394 -6.09399 9.63593 9.79336 4.91374 0 0.10112 0.110069 -0.0174479 -36.8461 1 0 0 0.000298766 0.000267862 0.00277912
1390 17.8409 0.0251295 0.00601629 9.40388e-05 3.60151e-05 0.00588624 4.99515e-06 0.00176559 0.191012 1.95022 1.4517 1.96585 1.93378 0.981957 -6.11849 9.64865 9.8072 4.91155 0 0.101183 0.110137 -0.0173974 -36.8813 1 0 0 0.000296854 0.000266316 0.00278658
1395 17.9666 0.0251295 0.00607717 9.38961e-05 3.57404e-05 0.00594753 4.98658e-06 0.00176733 0.191699 1.95289 1.4517 1.96862 1.93633 0.981521 -6.14295 9.66137 9.82106 4.90936 0 0.101245 0.110204 -0.017347 -36.9161 1 0 0 0.000294965 0.000264775 0.00279399
1400 18.0922 0.0251295 0.00613848 9.37632e-05 3.5468e-05 0.00600925 4.97804e-06 0.00176907 0.192386 1.95555 1.4517 1.9714 1.93888 0.981086 -6.16735 9.67411 9.83492 4.90718 0 0.101306 0.11027 -0.0172967 -36.9505 1 0 0 0.000293098 0.000263239 0.00280135
1405 18.2179 0.0251295 0.00620024 9.364e-05 3.51978e-05 0.0060714 4.96952e-06 0.00177081 0.193073 1.95822 1.4517 1.97418 1.94143 0.980652 -6.1917 9.68685 9.84879 4.90501 0 0.101367 0.110335 -0.0172464 -36.9845 1 0 0 0.000291255 0.000261709 0.00280867
1410 18.3435 0.0251295 0.00626244 9.35265e-05 3.49298e-05 0.00613399 4.96102e-06 0.00177255 0.19376 1.96089 1.4517 1.97695 1.94398 0.98022 -6.216 9.6996 9.86267 4.90284 0 0.101427 0.110399 -0.0171962 -37.0182 1 0 0 0.000289434 0.000260184 0.00281594
1415 18.4692 0.0251295 0.00632509 9.34225e-05 3.46642e-05 0.006197 4.95254e-06 0.00177429 0.194448 1.96356 1.4517 1.97973 1.94654 0.979789 -6.24024 9.71236 9.87655 4.90068 0 0.101486 0.110461 -0.0171461 -37.0515 1 0 0 0.000287635 0.000258666 0.00282316
1420 18.5948 0.0251295 0.00638818 9.33279e-05 3.44008e-05 0.00626045 4.94408e-06 0.00177603 0.195135 1.96623 1.4517 1.98252 1.94909 0.979359 -6.26444 9.72513 9.89045 4.89853 0 0.101544 0.110523 -0.0170961 -37.0845 1 0 0 0.000285859 0.000257153 0.00283033
1425 18.7205 0.0251295 0.00645172 9.32426e-05 3.41396e-05 0.00632434 4.93565e-06 0.00177777 0.195822 1.96891 1.4517 1.9853 1.95165 0.978931 -6.28858 9.7379 9.90435 4.89638 0 0.101601 0.110583 -0.0170461 -37.1171 1 0 0 0.000284105 0.000255647 0.00283746
1430 18.8461 0.0251295 0.00651571 9.31666e-05 3.38808e-05 0.00638866 4.92724e-06 0.00177952 0.196509 1.97158 1.4517 1.98808 1.95421 0.978503 -6.31268 9.75068 9.91826 4.89424 0 0.101657 0.110643 -0.0169962 -37.1493 1 0 0 0.000282374 0.000254146 0.00284454
1435 18.9718 0.0251295 0.00658014 9.30996e-05 3.36242e-05 0.00645342 4.91886e-06 0.00178126 0.197196 1.97426 1.4517 1.99087 1.95677 0.978077 -6.33672 9.76347 9.93218 4.8921 0 0.101713 0.110702 -0.0169464 -37.1812 1 0 0 0.000280664 0.000252653 0.00285157
1440 19.0974 0.0251295 0.00664502 9.30417e-05 3.33699e-05 0.00651861 4.9105e-06 0.00178301 0.197883 1.97694 1.4517 1.99366 1.95933 0.977653 -6.36071 9.77626 9.9461 4.88998 0 0.101768 0.110759 -0.0168967 -37.2128 1 0 0 0.000278977 0.000251166 0.00285856
1445 19.2231 0.0251295 0.00671035 9.29928e-05 3.31179e-05 0.00658424 4.90216e-06 0.00178476 0.19857 1.97962 1.4517 1.99644 1.96189 0.977229 -6.38464 9.78907 9.96003 4.88785 0 0.101822 0.110816 -0.0168471 -37.244 1 0 0 0.000277312 0.000249685 0.0028655
1450 19.3487 0.0251295 0.00677613 9.29526e-05 3.28681e-05 0.00665031 4.89384e-06 0.0017865 0.199257 1.9823 1.4517 1.99923 1.96445 0.976807 -6.40853 9.80187 9.97397 4.88574 0 0.101875 0.110872 -0.0167976 -37.2748 1 0 0 0.000275668 0.000248212 0.00287239
1455 19.4744 0.0251295 0.00684236 9.29211e-05 3.26206e-05 0.00671682 4.88555e-06 0.00178825 0.199944 1.98498 1.4517 2.00203 1.96702 0.976386 -6.43236 9.81469 9.98792 4.88363 0 0.101928 0.110926 -0.0167482 -37.3054 1 0 0 0.000274046 0.000246746 0.00287924
1460 19.6 0.0251295 0.00690904 9.28983e-05 3.23754e-05 0.00678377 4.87728e-06 0.00179 0.200631 1.98766 1.4517 2.00482 1.96959 0.975966 -6.45614 9.82751 10.0019 4.88152 0 0.10198 0.11098 -0.0166988 -37.3355 1 0 0 0.000272445 0.000245286 0.00288603
1465 19.7256 0.0251295 0.00697618 9.2884e-05 3.21324e-05 0.00685116 4.86903e-06 0.00179175 0.201318 1.99035 1.4517 2.00761 1.97215 0.975548 -6.47987 9.84034 10.0158 4.87943 0 0.102031 0.111033 -0.0166496 -37.3654 1 0 0 0.000270866 0.000243834 0.00289279
1470 19.8513 0.0251295 0.00704376 9.28781e-05 3.18917e-05 0.00691899 4.86081e-06 0.0017935 0.202006 1.99304 1.4517 2.01041 1.97472 0.97513 -6.50355 9.85318 10.0298 4.87733 0 0.102081 0.111084 -0.0166004 -37.3949 1 0 0 0.000269308 0.00024239 0.00289949
1475 19.9769 0.0251295 0.0071118 9.28805e-05 3.16532e-05 0.00698727 4.85261e-06 0.00179525 0.202693 1.99572 1.4517 2.01321 1.97729 0.974714 -6.52717 9.86602 10.0438 4.87525 0 0.102131 0.111135 -0.0165514 -37.4241 1 0 0 0.000267771 0.000240953 0.00290615
1480 20.1026 0.0251295 0.00718029 9.28912e-05 3.1417e-05 0.00705598 4.84444e-06 0.00179701 0.20338 1.99841 1.4517 2.016 1.97987 0.974299 -6.55074 9.87887 10.0578 4.87317 0 0.10218 0.111185 -0.0165025 -37.4529 1 0 0 0.000266255 0.000239523 0.00291277
1485 20.2282 0.0251295 0.00724924 9.29099e-05 3.1183e-05 0.00712514 4.83629e-06 0.00179876 0.204067 2.0011 1.4517 2.0188 1.98244 0.973886 -6.57426 9.89172 10.0717 4.8711 0 0.102228 0.111234 -0.0164536 -37.4815 1 0 0 0.00026476 0.000238101 0.00291933
1490 20.3539 0.0251295 0.00731863 9.29367e-05 3.09512e-05 0.00719475 4.82816e-06 0.00180051 0.204754 2.00379 1.4517 2.0216 1.98501 0.973473 -6.59773 9.90458 10.0857 4.86903 0 0.102275 0.111282 -0.0164049 -37.5097 1 0 0 0.000263286 0.000236687 0.00292585
1495 20.4795 0.0251295 0.00738849 9.29714e-05 3.07217e-05 0.0072648 4.82005e-06 0.00180227 0.205441 2.00648 1.4517 2.02441 1.98759 0.973062 -6.62114 9.91745 10.0997 4.86697 0 0.102322 0.11133 -0.0163563 -37.5376 1 0 0 0.000261832 0.000235281 0.00293233
1500 20.6052 0.0251295 0.0074588 9.3014e-05 3.04943e-05 0.00733529 4.81197e-06 0.00180402 0.206128 2.00918 1.4517 2.02721 1.99016 0.972652 -6.6445 9.93032 10.1137 4.86491 0 0.102368 0.111376 -0.0163078 -37.5652 1 0 0 0.000260399 0.000233883 0.00293876
1505 20.7308 0.0251295 0.00752956 9.30642e-05 3.02692e-05 0.00740623 4.80392e-06 0.00180578 0.206815 2.01187 1.4517 2.03001 1.99274 0.972243 -6.66781 9.9432 10.1278 4.86287 0 0.102413 0.111422 -0.0162594 -37.5925 1 0 0 0.000258985 0.000232493 0.00294514
1510 20.8565 0.0251295 0.00760078 9.31221e-05 3.00462e-05 0.00747762 4.79588e-06 0.00180753 0.207502 2.01457 1.4517 2.03282 1.99532 0.971836 -6.69107 9.95608 10.1418 4.86082 0 0.102458 0.111466 -0.0162112 -37.6194 1 0 0 0.000257592 0.000231111 0.00295148
1515 20.9821 0.0251295 0.00767246 9.31875e-05 2.98254e-05 0.00754945 4.78787e-06 0.00180929 0.208189 2.01727 1.4517 2.03562 1.9979 0.971429 -6.71427 9.96897 10.1558 4.85879 0 0.102502 0.11151 -0.016163 -37.6461 1 0 0 0.000256219 0.000229737 0.00295777
1520 21.1078 0.0251295 0.0077446 9.32603e-05 2.96068e-05 0.00762173 4.77989e-06 0.00181105 0.208877 2.01996 1.4517 2.03843 2.00048 0.971024 -6.73742 9.98186 10.1698 4.85676 0 0.102545 0.111553 -0.016115 -37.6724 1 0 0 0.000254865 0.000228372 0.00296402
1525 21.2334 0.0251295 0.00781719 9.33405e-05 2.93904e-05 0.00769446 4.77193e-06 0.00181281 0.209564 2.02266 1.4517 2.04124 2.00306 0.97062 -6.76052 9.99476 10.1839 4.85473 0 0.102588 0.111595 -0.0160671 -37.6985 1 0 0 0.000253531 0.000227015 0.00297022
1530 21.3591 0.0251295 0.00789024 9.34279e-05 2.91761e-05 0.00776763 4.76399e-06 0.00181457 0.210251 2.02536 1.4517 2.04405 2.00564 0.970218 -6.78356 10.0077 10.1979 4.85271 0 0.10263 0.111636 -0.0160193 -37.7242 1 0 0 0.000252217 0.000225666 0.00297637
1535 21.4847 0.0251295 0.00796375 9.35224e-05 2.89639e-05 0.00784126 4.75607e-06 0.00181633 0.210938 2.02806 1.4517 2.04686 2.00823 0.969816 -6.80655 10.0206 10.2119 4.8507 0 0.102672 0.111676 -0.0159716 -37.7497 1 0 0 0.000250922 0.000224326 0.00298249
1540 21.6104 0.0251295 0.00803771 9.3624e-05 2.87539e-05 0.00791533 4.74819e-06 0.00181809 0.211625 2.03077 1.4517 2.04967 2.01081 0.969416 -6.82949 10.0335 10.226 4.84869 0 0.102712 0.111716 -0.0159241 -37.7748 1 0 0 0.000249645 0.000222994 0.00298855
1545 21.736 0.0251295 0.00811214 9.37324e-05 2.85459e-05 0.00798986 4.74032e-06 0.00181985 0.212312 2.03347 1.4517 2.05248 2.0134 0.969017 -6.85237 10.0464 10.24 4.84669 0 0.102752 0.111755 -0.0158767 -37.7997 1 0 0 0.000248388 0.00022167 0.00299457
1550 21.8617 0.0251295 0.00818702 9.38478e-05 2.83401e-05 0.00806483 4.73248e-06 0.00182161 0.212999 2.03617 1.4517 2.0553 2.01599 0.968619 -6.8752 10.0593 10.2541 4.8447 0 0.102792 0.111793 -0.0158294 -37.8242 1 0 0 0.00024715 0.000220356 0.00300055
1555 21.9873 0.0251295 0.00826236 9.39698e-05 2.81363e-05 0.00814025 4.72466e-06 0.00182337 0.213686 2.03888 1.4517 2.05811 2.01857 0.968222 -6.89798 10.0723 10.2682 4.84271 0 0.102831 0.11183 -0.0157822 -37.8485 1 0 0 0.00024593 0.00021905 0.00300648
1560 22.1129 0.0251295 0.00833816 9.40986e-05 2.79346e-05 0.00821613 4.71687e-06 0.00182514 0.214373 2.04158 1.4517 2.06093 2.02116 0.967826 -6.92071 10.0852 10.2822 4.84073 0 0.102869 0.111866 -0.0157352 -37.8725 1 0 0 0.000244729 0.000217752 0.00301237
1565 22.2386 0.0251295 0.00841442 9.42338e-05 2.7735e-05 0.00829245 4.7091e-06 0.0018269 0.21506 2.04429 1.4517 2.06374 2.02375 0.967432 -6.94338 10.0982 10.2963 4.83875 0 0.102907 0.111902 -0.0156883 -37.8962 1 0 0 0.000243546 0.000216463 0.00301821
1570 22.3642 0.0251295 0.00849114 9.43755e-05 2.75373e-05 0.00836923 4.70136e-06 0.00182866 0.215747 2.047 1.4517 2.06656 2.02634 0.967039 -6.966 10.1111 10.3104 4.83678 0 0.102944 0.111936 -0.0156415 -37.9197 1 0 0 0.000242381 0.000215183 0.00302401
1575 22.4899 0.0251295 0.00856832 9.45236e-05 2.73417e-05 0.00844646 4.69364e-06 0.00183043 0.216435 2.04971 1.4517 2.06938 2.02893 0.966647 -6.98856 10.1241 10.3245 4.83482 0 0.10298 0.11197 -0.0155949 -37.9428 1 0 0 0.000241234 0.000213912 0.00302977
1580 22.6155 0.0251295 0.00864596 9.46779e-05 2.71482e-05 0.00852414 4.68594e-06 0.00183219 0.217122 2.05242 1.4517 2.0722 2.03153 0.966256 -7.01107 10.137 10.3386 4.83286 0 0.103016 0.112004 -0.0155484 -37.9657 1 0 0 0.000240105 0.000212649 0.00303548
1585 22.7412 0.0251295 0.00872406 9.48383e-05 2.69566e-05 0.00860227 4.67827e-06 0.00183396 0.217809 2.05513 1.4517 2.07502 2.03412 0.965866 -7.03353 10.15 10.3526 4.8309 0 0.103052 0.112036 -0.0155021 -37.9883 1 0 0 0.000238993 0.000211395 0.00304115
1590 22.8668 0.0251295 0.00880262 9.50048e-05 2.67669e-05 0.00868085 4.67062e-06 0.00183573 0.218496 2.05784 1.4517 2.07784 2.03672 0.965478 -7.05594 10.1629 10.3667 4.82896 0 0.103086 0.112068 -0.0154558 -38.0106 1 0 0 0.000237899 0.00021015 0.00304677
1595 22.9925 0.0251295 0.00888164 9.51773e-05 2.65792e-05 0.00875988 4.663e-06 0.00183749 0.219183 2.06055 1.4517 2.08066 2.03931 0.96509 -7.07829 10.1759 10.3808 4.82701 0 0.103121 0.112099 -0.0154097 -38.0327 1 0 0 0.000236822 0.000208914 0.00305235
1600 23.1181 0.0251295 0.00896112 9.53556e-05 2.63935e-05 0.00883937 4.6554e-06 0.00183926 0.21987 2.06326 1.4517 2.08348 2.04191 0.964704 -7.10059 10.1889 10.3949 4.82508 0 0.103154 0.112129 -0.0153638 -38.0545 1 0 0 0.000235762 0.000207686 0.00305789
